,SeniorCitizen,tenure,MonthlyCharges,genderdummies,Dependentsdummi,PhoneServicedmi,internetservice,DeviceProtection,TechSupport,CableService,oneyear,twoyear,PaperlessBilling,Credit card (automatic),Electronic check,Mailed check,Churn,TotalCharges
0,0,1,29.85,0,0,0,1,0,0,0,0,0,1,0,1,0,0,29.85
1,0,34,56.95,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1889.5
2,0,2,53.85,1,0,1,1,0,0,0,0,0,1,0,0,1,1,108.15
3,0,45,42.3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1840.75
4,0,2,70.7,0,0,1,1,0,0,0,0,0,1,0,1,0,1,151.65
5,0,8,99.65,0,0,1,1,1,0,1,0,0,1,0,1,0,1,820.5
6,0,22,89.1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1949.4
7,0,10,29.75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,301.9
8,0,28,104.8,0,0,1,1,1,1,1,0,0,1,0,1,0,1,3046.05
9,0,62,56.15,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3487.95
10,0,13,49.95,1,1,1,1,0,0,0,0,0,1,0,0,1,0,587.45
11,0,16,18.95,1,0,1,0,0,0,0,0,1,0,1,0,0,0,326.8
12,0,58,100.35,1,0,1,1,1,0,1,1,0,0,1,0,0,0,5681.1
13,0,49,103.7,1,0,1,1,1,0,1,0,0,1,0,0,0,1,5036.3
14,0,25,105.5,1,0,1,1,1,1,1,0,0,1,0,1,0,0,2686.05
15,0,69,113.25,0,1,1,1,1,1,1,0,1,0,1,0,0,0,7895.15
16,0,52,20.65,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1022.95
17,0,71,106.7,1,1,1,1,1,0,1,0,1,0,0,0,0,0,7382.25
18,0,10,55.2,0,1,1,1,1,1,0,0,0,0,1,0,0,1,528.35
19,0,21,90.05,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1862.9
20,1,1,39.65,1,0,0,1,1,0,1,0,0,1,0,1,0,1,39.65
21,0,12,19.8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,202.25
22,0,1,20.15,1,0,1,0,0,0,0,0,0,0,0,0,1,1,20.15
23,0,58,59.9,0,0,1,1,0,1,0,0,1,1,1,0,0,0,3505.1
24,0,49,59.6,1,1,1,1,0,1,0,0,0,0,1,0,0,0,2970.3
25,0,30,55.3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1530.6
26,0,47,99.35,1,1,1,1,0,0,1,0,0,1,0,1,0,1,4749.15
27,0,1,30.2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,30.2
28,0,72,90.25,1,0,1,1,1,1,1,0,1,1,1,0,0,0,6369.45
29,0,17,64.7,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1093.1
30,1,71,96.35,0,0,1,1,1,1,0,0,1,1,1,0,0,0,6766.95
31,1,2,95.5,1,0,1,1,1,0,1,0,0,1,1,0,0,0,181.65
32,0,27,66.15,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1874.45
33,0,1,20.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20.2
34,1,1,45.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,45.25
35,0,72,99.9,0,1,1,1,0,1,1,0,1,0,0,0,0,0,7251.7
36,0,5,69.7,1,0,1,1,0,0,0,0,0,1,0,1,0,1,316.9
37,0,46,74.8,0,0,1,1,1,0,0,0,0,1,1,0,0,0,3548.3
38,0,34,106.35,1,0,1,1,1,0,1,0,0,1,0,1,0,1,3549.25
39,0,11,97.85,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1105.4
40,0,10,49.55,1,1,1,1,0,0,0,1,0,0,0,0,1,0,475.7
41,0,70,69.2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,4872.35
42,0,17,20.75,0,1,1,0,0,0,0,1,0,0,0,0,1,0,418.25
43,0,63,79.85,0,0,1,1,1,1,1,0,1,1,1,0,0,0,4861.45
44,0,13,76.2,0,0,1,1,0,1,1,0,0,1,0,1,0,0,981.45
